Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
PADI4,Protein-arginine deiminase type-4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_NOS,Inverse variance weighted,6,0.96 [0.92-1.01],0.0946277658659582,trans
PADI4,Protein-arginine deiminase type-4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_RHEUMA,Inverse variance weighted,22,0.97 [0.93-1.01],0.1208807030134,trans
PADI4,Protein-arginine deiminase type-4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_OTHER_WIDE,Inverse variance weighted,5,0.99 [0.92-1.06],0.699373816421758,trans
