Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
RUVBL1,RuvB-like 1,Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,26735,180,1.22 [1.10-1.36],0.0002743500035236
RUVBL1,RuvB-like 1,Chapter XII Diseases of the skin and subcutaneous tissue,Seborrhoeic keratosis,26207,193,0.75 [0.64-0.88],0.0004391003072291
