Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
IL2RG,Cytokine receptor common subunit gamma,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",21126,29,2.15 [1.52-3.03],1.5894020125973574e-05
IL2RG,Cytokine receptor common subunit gamma,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,23256,43,1.76 [1.27-2.43],0.0007232268844133
IL2RG,Cytokine receptor common subunit gamma,Chapter VI Diseases of the nervous system,Other extrapyramidal and movement disorders in other diseases,24387,71,1.69 [1.30-2.20],9.75076759371913e-05
IL2RG,Cytokine receptor common subunit gamma,Chapter VI Diseases of the nervous system,Other sleep disorders,23414,523,1.37 [1.16-1.61],0.0001633969030321
IL2RG,Cytokine receptor common subunit gamma,Chapter VI Diseases of the nervous system,Restless leg syndrome,24509,33,1.85 [1.37-2.49],5.824115586169985e-05
IL2RG,Cytokine receptor common subunit gamma,Chapter VI Diseases of the nervous system,Sleep apnoea,24291,455,1.41 [1.19-1.67],6.0215589563271e-05
IL2RG,Cytokine receptor common subunit gamma,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other and unspecified visual disturbances,24145,101,1.65 [1.28-2.13],0.0001194738850244
IL2RG,Cytokine receptor common subunit gamma,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,24318,274,1.47 [1.20-1.79],0.0001543051308891
IL2RG,Cytokine receptor common subunit gamma,Chapter X Diseases of the respiratory system,Pleural plaque,23284,49,1.91 [1.40-2.60],4.368001839980859e-05
IL2RG,Cytokine receptor common subunit gamma,Chapter XI Diseases of the digestive system,Volvulus,18753,59,1.88 [1.41-2.50],1.4313255290726074e-05
IL2RG,Cytokine receptor common subunit gamma,Chapter XII Diseases of the skin and subcutaneous tissue,Other epidermal thickening,23092,38,1.88 [1.34-2.63],0.0002267463357492
IL2RG,Cytokine receptor common subunit gamma,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,24387,61,1.70 [1.30-2.24],0.0001228862077025
