,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.785 [0.759 - 0.809],0.719 [0.714 - 0.724],0.722 [0.667 - 0.774],0.719 [0.714 - 0.724],0.021 [0.018 - 0.024],0.440 [0.388 - 0.492],0.041 [0.035 - 0.047]
Demographic,0.905 [0.894 - 0.914],0.830 [0.826 - 0.835],0.833 [0.783 - 0.876],0.830 [0.826 - 0.835],0.040 [0.035 - 0.045],0.663 [0.613 - 0.707],0.076 [0.067 - 0.085]
Protein+Demographic,0.902 [0.892 - 0.912],0.827 [0.823 - 0.832],0.828 [0.774 - 0.873],0.827 [0.822 - 0.832],0.039 [0.034 - 0.044],0.654 [0.601 - 0.700],0.074 [0.065 - 0.084]
