,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.800 [0.767 - 0.832],0.728 [0.723 - 0.733],0.731 [0.656 - 0.801],0.728 [0.723 - 0.733],0.015 [0.012 - 0.017],0.459 [0.384 - 0.528],0.029 [0.024 - 0.034]
Demographic,0.918 [0.902 - 0.931],0.862 [0.857 - 0.866],0.862 [0.805 - 0.916],0.862 [0.857 - 0.866],0.033 [0.028 - 0.039],0.724 [0.666 - 0.777],0.064 [0.054 - 0.074]
Protein+Demographic,0.922 [0.904 - 0.936],0.858 [0.853 - 0.862],0.856 [0.799 - 0.911],0.858 [0.853 - 0.862],0.032 [0.027 - 0.037],0.714 [0.657 - 0.771],0.062 [0.053 - 0.072]
