,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.760 [0.747 - 0.774],0.688 [0.684 - 0.692],0.688 [0.660 - 0.714],0.688 [0.684 - 0.692],0.045 [0.042 - 0.048],0.376 [0.346 - 0.403],0.084 [0.078 - 0.089]
Demographic,0.709 [0.695 - 0.726],0.651 [0.647 - 0.655],0.650 [0.621 - 0.680],0.651 [0.647 - 0.655],0.038 [0.035 - 0.041],0.301 [0.273 - 0.331],0.072 [0.067 - 0.077]
Protein+Demographic,0.763 [0.750 - 0.776],0.686 [0.682 - 0.690],0.684 [0.657 - 0.713],0.686 [0.682 - 0.690],0.044 [0.041 - 0.047],0.370 [0.343 - 0.398],0.083 [0.077 - 0.089]
