,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.558 [0.517 - 0.595],0.544 [0.540 - 0.548],0.547 [0.472 - 0.616],0.544 [0.540 - 0.548],0.004 [0.003 - 0.005],0.091 [0.015 - 0.161],0.008 [0.007 - 0.010]
Demographic,0.503 [0.459 - 0.545],0.509 [0.505 - 0.513],0.506 [0.432 - 0.581],0.509 [0.505 - 0.513],0.004 [0.003 - 0.004],0.015 [-0.061 - 0.091],0.007 [0.006 - 0.009]
Protein+Demographic,0.566 [0.524 - 0.604],0.547 [0.543 - 0.551],0.545 [0.469 - 0.614],0.547 [0.543 - 0.551],0.004 [0.003 - 0.005],0.093 [0.016 - 0.161],0.008 [0.007 - 0.010]
