,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.852 [0.808 - 0.891],0.763 [0.760 - 0.767],0.780 [0.711 - 0.850],0.763 [0.760 - 0.767],0.009 [0.007 - 0.011],0.543 [0.474 - 0.611],0.018 [0.014 - 0.021]
Demographic,0.656 [0.605 - 0.704],0.644 [0.640 - 0.648],0.646 [0.559 - 0.720],0.644 [0.640 - 0.648],0.005 [0.004 - 0.006],0.290 [0.205 - 0.363],0.010 [0.008 - 0.012]
Protein+Demographic,0.850 [0.805 - 0.891],0.792 [0.789 - 0.795],0.795 [0.723 - 0.859],0.792 [0.789 - 0.795],0.010 [0.009 - 0.012],0.587 [0.513 - 0.651],0.020 [0.017 - 0.024]
