,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.516 [0.478 - 0.557],0.498 [0.494 - 0.503],0.498 [0.427 - 0.571],0.498 [0.494 - 0.503],0.005 [0.004 - 0.005],-0.003 [-0.074 - 0.070],0.009 [0.007 - 0.011]
Demographic,0.537 [0.493 - 0.580],0.540 [0.536 - 0.545],0.544 [0.470 - 0.612],0.540 [0.536 - 0.545],0.005 [0.004 - 0.006],0.084 [0.010 - 0.150],0.011 [0.009 - 0.013]
Protein+Demographic,0.538 [0.504 - 0.578],0.525 [0.520 - 0.529],0.526 [0.466 - 0.598],0.525 [0.520 - 0.529],0.005 [0.004 - 0.006],0.051 [-0.009 - 0.123],0.010 [0.008 - 0.012]
