,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.786 [0.751 - 0.820],0.722 [0.716 - 0.727],0.712 [0.638 - 0.783],0.722 [0.716 - 0.727],0.013 [0.011 - 0.016],0.434 [0.358 - 0.506],0.025 [0.021 - 0.031]
Demographic,0.905 [0.890 - 0.919],0.825 [0.821 - 0.829],0.825 [0.762 - 0.885],0.825 [0.821 - 0.829],0.024 [0.020 - 0.028],0.650 [0.585 - 0.710],0.046 [0.039 - 0.054]
Protein+Demographic,0.908 [0.894 - 0.921],0.821 [0.817 - 0.826],0.825 [0.760 - 0.884],0.821 [0.817 - 0.825],0.023 [0.019 - 0.027],0.646 [0.581 - 0.706],0.045 [0.037 - 0.053]
