,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.761 [0.722 - 0.794],0.692 [0.687 - 0.698],0.695 [0.626 - 0.757],0.692 [0.687 - 0.698],0.013 [0.011 - 0.015],0.388 [0.316 - 0.449],0.025 [0.021 - 0.030]
Demographic,0.913 [0.896 - 0.926],0.836 [0.832 - 0.840],0.840 [0.780 - 0.890],0.836 [0.832 - 0.840],0.029 [0.024 - 0.034],0.677 [0.617 - 0.726],0.056 [0.047 - 0.065]
Protein+Demographic,0.911 [0.894 - 0.925],0.827 [0.823 - 0.832],0.826 [0.769 - 0.883],0.827 [0.823 - 0.832],0.027 [0.022 - 0.032],0.654 [0.595 - 0.712],0.053 [0.044 - 0.061]
