,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.530 [0.494 - 0.565],0.514 [0.510 - 0.519],0.517 [0.457 - 0.577],0.514 [0.510 - 0.519],0.005 [0.004 - 0.006],0.032 [-0.030 - 0.091],0.011 [0.009 - 0.012]
Demographic,0.541 [0.506 - 0.576],0.533 [0.528 - 0.537],0.534 [0.475 - 0.593],0.533 [0.528 - 0.537],0.006 [0.005 - 0.007],0.067 [0.009 - 0.126],0.011 [0.010 - 0.013]
Protein+Demographic,0.533 [0.496 - 0.567],0.524 [0.520 - 0.528],0.524 [0.464 - 0.582],0.524 [0.520 - 0.528],0.005 [0.005 - 0.006],0.048 [-0.012 - 0.104],0.011 [0.009 - 0.013]
