,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.577 [0.520 - 0.634],0.553 [0.549 - 0.557],0.554 [0.459 - 0.646],0.553 [0.549 - 0.557],0.003 [0.002 - 0.003],0.107 [0.012 - 0.197],0.005 [0.004 - 0.006]
Demographic,0.622 [0.571 - 0.674],0.609 [0.605 - 0.613],0.607 [0.514 - 0.696],0.609 [0.605 - 0.613],0.003 [0.002 - 0.004],0.216 [0.122 - 0.305],0.006 [0.005 - 0.008]
Protein+Demographic,0.622 [0.566 - 0.681],0.587 [0.583 - 0.591],0.587 [0.500 - 0.685],0.587 [0.583 - 0.591],0.003 [0.002 - 0.004],0.174 [0.088 - 0.274],0.006 [0.005 - 0.007]
