,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.579 [0.555 - 0.602],0.549 [0.544 - 0.556],0.548 [0.509 - 0.587],0.549 [0.544 - 0.556],0.025 [0.022 - 0.027],0.098 [0.058 - 0.137],0.047 [0.042 - 0.052]
Demographic,0.577 [0.553 - 0.600],0.565 [0.559 - 0.571],0.563 [0.526 - 0.603],0.565 [0.559 - 0.571],0.026 [0.024 - 0.029],0.128 [0.089 - 0.168],0.050 [0.045 - 0.055]
Protein+Demographic,0.603 [0.580 - 0.625],0.577 [0.572 - 0.583],0.577 [0.538 - 0.617],0.577 [0.572 - 0.584],0.028 [0.025 - 0.031],0.155 [0.115 - 0.193],0.053 [0.048 - 0.058]
