,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.545 [0.511 - 0.579],0.534 [0.529 - 0.538],0.535 [0.475 - 0.600],0.534 [0.529 - 0.538],0.006 [0.005 - 0.008],0.069 [0.009 - 0.134],0.013 [0.011 - 0.015]
Demographic,0.625 [0.591 - 0.659],0.590 [0.586 - 0.595],0.591 [0.531 - 0.650],0.590 [0.586 - 0.595],0.008 [0.007 - 0.009],0.181 [0.121 - 0.241],0.016 [0.013 - 0.018]
Protein+Demographic,0.598 [0.561 - 0.633],0.573 [0.568 - 0.577],0.576 [0.514 - 0.632],0.573 [0.568 - 0.577],0.008 [0.006 - 0.009],0.148 [0.087 - 0.205],0.015 [0.013 - 0.017]
