,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.785 [0.754 - 0.813],0.725 [0.719 - 0.730],0.726 [0.665 - 0.785],0.725 [0.719 - 0.730],0.019 [0.016 - 0.022],0.451 [0.389 - 0.511],0.037 [0.031 - 0.043]
Demographic,0.903 [0.888 - 0.915],0.836 [0.832 - 0.841],0.835 [0.781 - 0.880],0.836 [0.832 - 0.841],0.036 [0.031 - 0.042],0.670 [0.617 - 0.717],0.069 [0.060 - 0.079]
Protein+Demographic,0.900 [0.884 - 0.912],0.835 [0.831 - 0.840],0.835 [0.778 - 0.881],0.835 [0.831 - 0.839],0.036 [0.031 - 0.041],0.670 [0.613 - 0.716],0.069 [0.059 - 0.079]
