,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.604 [0.561 - 0.644],0.563 [0.558 - 0.568],0.564 [0.487 - 0.637],0.563 [0.558 - 0.568],0.005 [0.004 - 0.005],0.127 [0.049 - 0.201],0.009 [0.007 - 0.011]
Demographic,0.604 [0.562 - 0.648],0.577 [0.573 - 0.582],0.578 [0.497 - 0.655],0.577 [0.573 - 0.582],0.005 [0.004 - 0.006],0.155 [0.074 - 0.233],0.010 [0.008 - 0.011]
Protein+Demographic,0.623 [0.581 - 0.664],0.598 [0.594 - 0.602],0.600 [0.525 - 0.673],0.598 [0.594 - 0.602],0.005 [0.004 - 0.006],0.198 [0.122 - 0.270],0.010 [0.008 - 0.013]
