Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PPY,Pancreatic prohormone,21489,207,1.18 [1.05-1.32],0.0057908531088037
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PQBP1,Polyglutamine-binding protein 1,21055,208,1.20 [1.01-1.43],0.0425964974159267
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRAP1,Proline-rich acidic protein 1,18737,178,2.86 [1.94-4.22],1.1411222112744113e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRDX6,Peroxiredoxin-6,21743,213,0.80 [0.65-0.98],0.034683947355824
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PREB,Prolactin regulatory element-binding protein,21181,209,1.76 [1.26-2.47],0.0010344621421803
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRELP,Prolargin,21514,215,4.79 [3.04-7.57],1.7872107074654133e-11
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRG2,Bone marrow proteoglycan,18737,178,2.12 [1.65-2.72],3.816661505281297e-09
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRG3,Proteoglycan 3,18737,178,1.35 [1.02-1.79],0.0381761257180448
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRL,Prolactin,21750,216,1.22 [1.05-1.43],0.0104774479799444
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRND,Prion-like protein doppel,18684,182,1.91 [1.50-2.43],1.3304725391165026e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PROK1,Prokineticin-1,21531,211,1.34 [1.07-1.68],0.0121388030599624
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PROS1,Vitamin K-dependent protein S,18751,182,0.36 [0.22-0.62],0.000165020227572
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRR4,Proline-rich protein 4,18165,176,1.38 [1.14-1.66],0.0007793240857314
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRRT3,Proline-rich transmembrane protein 3,18212,175,1.98 [1.41-2.79],7.442005266596598e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRSS2,Trypsin-2,21653,215,1.57 [1.32-1.87],3.908222828664735e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRSS22,Brain-specific serine protease 4,18194,178,1.61 [1.20-2.17],0.0016675660158611
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRSS27,Serine protease 27,21480,209,1.46 [1.08-1.97],0.0142161623004568
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRSS8,Prostasin,21447,212,2.37 [1.82-3.08],1.0044412494248316e-10
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PRTN3,Myeloblastin,21059,211,1.55 [1.29-1.86],2.409921727173656e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PSAP,Prosaposin,18567,171,4.25 [3.04-5.96],4.1457123925897407e-17
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PSAPL1,Proactivator polypeptide-like 1,18675,180,2.06 [1.62-2.63],6.226959244815637e-09
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PSG1,Pregnancy-specific beta-1-glycoprotein 1,21354,212,1.14 [1.01-1.28],0.0359507980096707
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PSIP1,PC4 and SFRS1-interacting protein,21531,211,1.23 [1.05-1.43],0.008019432766253
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PSMC3,26S proteasome regulatory subunit 6A,18084,178,0.59 [0.36-0.97],0.0357415508485109
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PSPN,Persephin,21531,211,1.15 [1.00-1.33],0.0498475619041432
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PTGDS,Prostaglandin-H2 D-isomerase,21406,210,3.43 [2.61-4.50],7.506389107611139e-19
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PTGR1,Prostaglandin reductase 1,18734,180,1.18 [1.00-1.39],0.0472421585429595
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PTH,Parathyroid hormone,18239,180,1.36 [1.16-1.59],9.660914108529588e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor,21531,211,1.46 [1.16-1.84],0.0014133746704934
