Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TMPRSS11B,Transmembrane protease serine 11B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19465,2236,1.08 [1.03-1.14],0.0025468161481659
TMPRSS11B,Transmembrane protease serine 11B,"Chapter IV Endocrine, nutritional and metabolic diseases",Deficiency of other B group vitamins,18152,179,1.25 [1.08-1.45],0.0028018206623667
TMPRSS11B,Transmembrane protease serine 11B,Chapter IX Diseases of the circulatory system,"Heart failure, strict",19640,1086,1.12 [1.05-1.20],0.0011064322955593
TMPRSS11B,Transmembrane protease serine 11B,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,19378,305,1.20 [1.07-1.35],0.0022530384338922
TMPRSS11B,Transmembrane protease serine 11B,Chapter IX Diseases of the circulatory system,Secondary right heart disease,19377,304,1.20 [1.06-1.35],0.0025946748259271
TMPRSS11B,Transmembrane protease serine 11B,Chapter VI Diseases of the nervous system,Other extrapyramidal and movement disorders in other diseases,19591,109,1.27 [1.06-1.53],0.0097004124590143
TMPRSS11B,Transmembrane protease serine 11B,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diplopia,19469,80,0.58 [0.38-0.87],0.0086811790247851
TMPRSS11B,Transmembrane protease serine 11B,Chapter X Diseases of the respiratory system,Nasal polyp,18726,126,1.35 [1.15-1.58],0.0002042211415178
TMPRSS11B,Transmembrane protease serine 11B,Chapter X Diseases of the respiratory system,Pleural effusion,18761,917,1.12 [1.04-1.21],0.0026505217698768
TMPRSS11B,Transmembrane protease serine 11B,Chapter XI Diseases of the digestive system,Coeliac disease,18525,73,1.34 [1.08-1.66],0.0066634888576251
TMPRSS11B,Transmembrane protease serine 11B,Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,19761,175,1.23 [1.06-1.43],0.0079644317590575
TMPRSS11B,Transmembrane protease serine 11B,Chapter XIV Diseases of the genitourinary system,Acute renal failure,19168,1483,1.09 [1.02-1.16],0.0064248769180567
