Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",21926,195,0.68 [0.47-0.96],0.0305892144782457
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23146,253,0.77 [0.56-1.07],0.1243142300977278
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22867,1760,0.73 [0.65-0.83],4.632153204638322e-07
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Candidiasis,23148,552,0.67 [0.54-0.84],0.0004035511273597
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22389,4245,0.77 [0.71-0.83],1.0555797325375162e-10
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22333,4320,0.77 [0.71-0.83],8.448707552790148e-11
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,22854,1428,0.81 [0.70-0.94],0.0040628893211072
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,23051,129,0.81 [0.51-1.29],0.3804461557715609
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20326,1307,0.71 [0.62-0.82],2.448133451786932e-06
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19602,1586,0.64 [0.57-0.73],7.49835961445751e-12
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,19104,343,0.54 [0.41-0.71],9.390501922041784e-06
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,15050,2756,0.78 [0.71-0.87],1.737890170825664e-06
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,19038,492,0.55 [0.44-0.69],1.52683946734551e-07
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23128,1702,0.83 [0.73-0.95],0.0051790887835183
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Mycoses,23246,650,0.69 [0.56-0.85],0.0004055938735924
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22355,1248,0.71 [0.61-0.82],2.734388662564388e-06
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23173,1442,0.73 [0.64-0.84],4.239295860635666e-06
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,21679,253,0.76 [0.55-1.06],0.1066152467330279
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,23306,67,0.67 [0.36-1.26],0.2165191328895735
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Other septicaemia,22990,1259,0.76 [0.66-0.87],0.0001483776277294
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23005,83,0.77 [0.43-1.37],0.3762167309656398
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23242,142,0.66 [0.43-1.02],0.0622480565684776
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23219,119,0.56 [0.35-0.89],0.0137709993039928
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21611,504,0.76 [0.61-0.94],0.0137581432693578
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,21416,309,0.59 [0.45-0.78],0.0002209984394942
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,21564,138,0.84 [0.53-1.33],0.4478059875275945
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,23291,52,0.57 [0.39-0.85],0.0052452274986371
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23237,175,0.82 [0.55-1.23],0.3338411909902625
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Viral warts,23118,56,0.72 [0.36-1.46],0.3646645116176036
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],23142,80,0.69 [0.39-1.23],0.2117903493807289
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign lipomatous neoplasm,23014,269,0.89 [0.64-1.22],0.4697732726863828
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23224,41,2.04 [0.78-5.34],0.1483180841390161
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,23206,44,0.94 [0.42-2.09],0.8789234957122055
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,11106,85,0.45 [0.27-0.75],0.0022933291397801
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",22837,1687,1.26 [1.10-1.44],0.0011031675751615
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm of meninges,23290,64,1.15 [0.55-2.40],0.7031589981870405
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,23211,80,0.74 [0.40-1.35],0.321212604124098
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,23278,121,0.61 [0.39-0.96],0.0339130031816385
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm of ovary,12130,78,1.11 [0.54-2.28],0.7750292128616304
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm: Ascending colon,23266,444,1.20 [0.92-1.55],0.179637050582151
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm: Caecum,23271,390,1.61 [1.20-2.15],0.0013958694466569
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",23157,87,1.20 [0.66-2.17],0.5486120781174869
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm: Descending colon,23263,255,1.14 [0.81-1.59],0.4505418955562938
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm: Rectum,23222,410,1.12 [0.85-1.47],0.4263211196917378
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,23148,674,1.55 [1.25-1.94],8.141055228289976e-05
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Benign neoplasm: Transverse colon,23248,549,1.24 [0.98-1.57],0.0717074671953772
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Carcinoma in situ of breast,9120,50,1.68 [0.68-4.18],0.264445275875435
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",9164,67,1.22 [0.57-2.62],0.6043023891435451
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",16627,72,0.76 [0.41-1.42],0.3940944806198229
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",16655,100,0.88 [0.51-1.51],0.6301444663437243
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",23249,126,0.93 [0.57-1.54],0.7905752092993342
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,"Haemangioma, any site",23250,123,0.91 [0.55-1.50],0.7073423234098609
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Leiomyoma of uterus,11855,169,0.99 [0.61-1.60],0.9691617928348296
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Lung cancer and mesothelioma,14737,477,0.72 [0.56-0.92],0.008654698385444
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,Lymphoid leukaemia,16628,73,0.76 [0.41-1.42],0.3872315631655575
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",16778,223,0.89 [0.62-1.29],0.5540327941016219
IGFBP3,Insulin-like growth factor-binding protein 3,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",16877,322,1.05 [0.77-1.42],0.76824237023792
