Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",22559,178,2.38 [1.71-3.29],2.142107091693492e-07
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23590,193,2.16 [1.56-2.99],3.4760836870061663e-06
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23341,1403,1.84 [1.63-2.09],5.370556238464228e-22
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Candidiasis,23601,381,1.81 [1.42-2.29],1.1191792564520904e-06
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22914,3459,1.64 [1.51-1.78],7.0376562579855565e-31
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22873,3464,1.94 [1.79-2.10],1.5781243580131053e-58
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23389,1045,1.81 [1.57-2.10],1.3087128461750809e-15
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,23525,82,3.39 [2.18-5.26],5.4787323128045176e-08
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21401,1116,2.15 [1.87-2.47],7.602819780157655e-27
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20651,1234,2.55 [2.25-2.89],3.0178745284751465e-49
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,20368,252,2.44 [1.85-3.23],3.273887667801832e-10
