Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BIRC2,Baculoviral IAP repeat-containing protein 2,15203,101,0.93 [0.70-1.23],0.615351951799769
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BLMH,Bleomycin hydrolase,15755,107,1.89 [1.17-3.07],0.0099223284837243
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BLNK,B-cell linker protein,13104,86,0.84 [0.48-1.46],0.5335755260801133
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,13061,86,1.00 [0.76-1.32],0.9921745133513143
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BLOC1S3,Biogenesis of lysosome-related organelles complex 1 subunit 3,13456,92,1.15 [0.72-1.84],0.5564183301075116
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BLVRB,Flavin reductase,15564,106,1.24 [0.97-1.59],0.0846229203203361
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BMP10,Bone morphogenetic protein 10,13189,86,1.59 [0.74-3.41],0.2337647273401335
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BMP4,Bone morphogenetic protein 4,15386,106,0.77 [0.52-1.15],0.2017225625642635
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BMP6,Bone morphogenetic protein 6,15252,101,0.90 [0.58-1.41],0.6592261653080576
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BMPER,BMP-binding endothelial regulator protein,13189,86,1.00 [0.39-2.55],0.995712144309519
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,13503,91,1.58 [0.97-2.59],0.0688521817068085
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,13104,86,1.24 [0.80-1.93],0.3384564722283983
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BOC,Brother of CDO,15277,102,0.48 [0.23-1.03],0.0592867536304362
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BOLA1,BolA-like protein 1,13061,86,1.06 [0.73-1.56],0.7519660006919169
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BOLA2_BOLA2B,BolA-like protein 2,13113,87,1.68 [1.14-2.47],0.0086006759631293
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BPIFA2,BPI fold-containing family A member 2,12664,83,0.88 [0.72-1.07],0.1908821547646398
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BPIFB1,BPI fold-containing family B member 1,15529,107,0.99 [0.76-1.29],0.9501551002350556
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BPIFB2,BPI fold-containing family B member 2,13472,91,1.34 [1.00-1.79],0.0467210404388036
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BRAP,BRCA1-associated protein,13310,89,1.05 [0.87-1.26],0.6281934712369033
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BRD1,Bromodomain-containing protein 1,13260,87,1.31 [0.71-2.41],0.3905456424773649
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BRD2,Bromodomain-containing protein 2,13061,86,1.31 [0.77-2.20],0.3179217329436181
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BRD3,Bromodomain-containing protein 3,13037,87,1.30 [1.02-1.66],0.035328007970469
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BRDT,Bromodomain testis-specific protein,13037,87,1.48 [0.87-2.52],0.1483427597574456
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BRK1,Protein BRICK1,15206,101,1.40 [0.95-2.07],0.0861280571583476
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BRME1,Break repair meiotic recombinase recruitment factor 1,13061,86,0.87 [0.50-1.52],0.6288771310677255
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BRSK2,Serine/threonine-protein kinase BRSK2,13464,92,1.66 [1.05-2.61],0.0298116887819657
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BSG,Basigin,15718,107,2.27 [0.92-5.58],0.0739456363357242
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BSND,Barttin,13016,84,0.94 [0.48-1.82],0.8442049096443001
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,15700,107,0.98 [0.69-1.39],0.9004019701502561
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BST2,Bone marrow stromal antigen 2,15700,107,1.41 [1.03-1.93],0.029794365232041
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BTC,Probetacellulin,15203,101,1.06 [0.84-1.34],0.6404659327812023
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BTD,Biotinidase,13504,89,1.37 [0.50-3.78],0.5421395122485568
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BTLA,B- and T-lymphocyte attenuator,13016,84,1.10 [0.90-1.34],0.3659537701861878
Chapter X Diseases of the respiratory system,Allergic asthma (mode),BTN1A1,Butyrophilin subfamily 1 member A1,13419,92,0.99 [0.58-1.69],0.966716784125341
