"Unnamed: 0","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-110056","R-HSA-110056","MAPK3 (ERK1) activation","1/1","10/10891",0.00091818933063991,0.00909007437333609,NA,"IL6",1
"R-HSA-1059683","R-HSA-1059683","Interleukin-6 signaling","1/1","11/10891",0.00101000826370401,0.00909007437333609,NA,"IL6",1
"R-HSA-112409","R-HSA-112409","RAF-independent MAPK1/3 activation","1/1","23/10891",0.00211183546047189,0.00991644477091141,NA,"IL6",1
"R-HSA-6783589","R-HSA-6783589","Interleukin-6 family signaling","1/1","24/10891",0.00220365439353587,0.00991644477091141,NA,"IL6",1
"R-HSA-8853884","R-HSA-8853884","Transcriptional Regulation by VENTX","1/1","39/10891",0.00358093838949602,0.0128913782021857,NA,"IL6",1
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","1/1","47/10891",0.00431548985400787,0.0129464695620236,NA,"IL6",1
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","1/1","108/10891",0.0099164447709118,0.0201333878682149,NA,"IL6",1
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","1/1","108/10891",0.0099164447709118,0.0201333878682149,NA,"IL6",1
"R-HSA-2559582","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","1/1","112/10891",0.0102837205031677,0.0201333878682149,NA,"IL6",1
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","1/1","125/10891",0.0114773666329999,0.0201333878682149,NA,"IL6",1
"R-HSA-9660821","R-HSA-9660821","ADORA2B mediated anti-inflammatory cytokines production","1/1","134/10891",0.0123037370305757,0.0201333878682149,NA,"IL6",1
"R-HSA-9662851","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection","1/1","169/10891",0.0155173996878157,0.0214856303369756,NA,"IL6",1
"R-HSA-9664433","R-HSA-9664433","Leishmania parasite growth and survival","1/1","169/10891",0.0155173996878157,0.0214856303369756,NA,"IL6",1
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","1/1","197/10891",0.0180883298136076,0.023256424046067,NA,"IL6",1
"R-HSA-9658195","R-HSA-9658195","Leishmania infection","1/1","254/10891",0.0233220089982556,0.0279864107979068,NA,"IL6",1
"R-HSA-5684996","R-HSA-5684996","MAPK1/MAPK3 signaling","1/1","286/10891",0.0262602148563035,0.0295427417133414,NA,"IL6",1
"R-HSA-5683057","R-HSA-5683057","MAPK family signaling cascades","1/1","325/10891",0.0298411532457993,0.0315965152014345,NA,"IL6",1
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","1/1","473/10891",0.043430355339271,0.043430355339271,NA,"IL6",1
