"Unnamed: 0","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors","8/49","29/10891",3.68400478115963e-13,5.34180693268146e-11,4.49836373278439e-11,"CD27/EDA2R/TNFRSF14/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B",8
"R-HSA-5668541","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway","10/49","102/10891",2.01046181893502e-11,1.45758481872789e-09,1.2274398473498e-09,"CD27/EDA2R/LTBR/TNFRSF11A/TNFRSF14/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B",10
"R-HSA-5676594","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway","3/49","18/10891",6.6602017878107e-05,0.00321909753077517,0.00271081897328436,"LTBR/TNFRSF11A/TNFSF13B",3
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","5/49","108/10891",0.00011774953713022,0.00426842072097073,0.00359445955450167,"CKAP4/CSF1/CST3/IGFBP4/SHISA5",5
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","5/49","125/10891",0.00023396971039755,0.00585668909409741,0.00493194871081888,"CKAP4/CSF1/CST3/IGFBP4/SHISA5",5
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","9/49","482/10891",0.00025533357360363,0.00585668909409741,0.00493194871081888,"CD59/CKAP4/CST3/CSTB/CTSZ/LAIR1/PLAUR/RNASET2/TNFRSF1B",9
"R-HSA-3928663","R-HSA-3928663","EPHA-mediated growth cone collapse","3/49","30/10891",0.00031902992393253,0.00585668909409741,0.00493194871081888,"EFNA1/EFNA4/EPHA2",3
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","5/49","134/10891",0.00032312767415709,0.00585668909409741,0.00493194871081888,"CD300E/COLEC12/LAIR1/NECTIN2/NPDC1",5
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","3/49","47/10891",0.00120755822669805,0.0194551047634685,0.0163832461166051,"CSF1/TNFRSF1A/TNFRSF1B",3
"R-HSA-3928665","R-HSA-3928665","EPH-ephrin mediated repulsion of cells","3/49","51/10891",0.00153143634771573,0.0222058270418781,0.0186996438247395,"EFNA1/EFNA4/EPHA2",3
