"Unnamed: 0","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","5/10","47/10891",2.98165412072481e-10,1.01376240104643e-08,4.39401659896287e-09,"CSF1/IL10RB/IL6/TNFRSF1A/TNFRSF1B",5
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors","3/10","29/10891",2.01172514448698e-06,3.41993274562786e-05,1.48232379067462e-05,"TNFRSF14/TNFRSF1A/TNFRSF1B",3
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","5/10","473/10891",3.18048100336885e-05,0.00036045451371513,0.00015623415455145,"CSF1/IL10RB/IL6/TNFRSF1A/TNFRSF1B",5
"R-HSA-5668541","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway","3/10","102/10891",9.12516673799497e-05,0.00073566411620278,0.0003188637036173,"TNFRSF14/TNFRSF1A/TNFRSF1B",3
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","3/10","108/10891",0.00010818589944158,0.00073566411620278,0.0003188637036173,"CSF1/IGFBP4/IL6",3
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","3/10","125/10891",0.00016700009831052,0.00088056956625161,0.00038167101942794,"CSF1/IGFBP4/IL6",3
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","3/10","134/10891",0.00020517072790337,0.00088056956625161,0.00038167101942794,"LAIR1/LILRA5/NECTIN2",3
"R-HSA-449836","R-HSA-449836","Other interleukin signaling","2/10","24/10891",0.00020719283911802,0.00088056956625161,0.00038167101942794,"CSF1/IL10RB",2
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","2/10","108/10891",0.00416258302561374,0.0157253136523186,0.00681592542205758,"IL6/TNFRSF1B",2
"R-HSA-110056","R-HSA-110056","MAPK3 (ERK1) activation","1/10","10/10891",0.00914781259470465,0.0310897193972737,0.0134754201721929,"IL6",1
"R-HSA-1059683","R-HSA-1059683","Interleukin-6 signaling","1/10","11/10891",0.0100584386285297,0.0310897193972737,0.0134754201721929,"IL6",1
"R-HSA-5357786","R-HSA-5357786","TNFR1-induced proapoptotic signaling","1/10","13/10891",0.0118774314244749,0.0336527223693457,0.0145863192932149,"TNFRSF1A",1
