Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,27599,111,1.03 [0.87-1.21],0.7609452065265297
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,Other benign neoplasms of skin,27514,186,1.08 [0.96-1.23],0.2003177926986937
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,Benign neoplasm of breast,15256,94,1.13 [0.97-1.32],0.1281553988130512
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,Leiomyoma of uterus,14899,680,1.00 [0.93-1.08],0.9430346338064878
IKZF2,Zinc finger protein Helios,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,26633,195,1.02 [0.89-1.16],0.8209151953425652
IKZF2,Zinc finger protein Helios,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,26530,347,1.13 [1.04-1.23],0.0056406081730966
IKZF2,Zinc finger protein Helios,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,26530,347,1.13 [1.04-1.23],0.0056406081730966
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),25326,348,1.01 [0.91-1.12],0.8900850188640133
IKZF2,Zinc finger protein Helios,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,27178,79,1.16 [0.98-1.37],0.0904162383023544
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,27380,104,1.19 [1.03-1.38],0.0197522348339682
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,24240,688,1.00 [0.93-1.08],0.989955877594811
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,26342,432,1.14 [1.06-1.23],0.0004354148544098
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,25863,114,1.14 [0.99-1.33],0.072199868477235
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Peripheral artery disease,26895,54,1.22 [0.99-1.51],0.063240155297495
