Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VASN,Vasorin,19043,257,1.07 [0.71-1.61],0.7593823796076615
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VASP,Vasodilator-stimulated phosphoprotein,16889,203,1.12 [0.93-1.34],0.244604533765645
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,19247,258,0.47 [0.26-0.83],0.0090727164855133
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VAV3,Guanine nucleotide exchange factor VAV3,16351,197,1.03 [0.89-1.18],0.6884704575762401
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VCAM1,Vascular cell adhesion protein 1,19400,259,0.83 [0.55-1.26],0.3814592177881589
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VCAN,Versican core protein,19482,259,0.99 [0.69-1.43],0.9751660912018744
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VCPKMT,Protein-lysine methyltransferase METTL21D,16265,197,0.98 [0.83-1.16],0.8251809804727568
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VEGFA,Vascular endothelial growth factor A,19464,260,1.08 [0.89-1.29],0.4359887668685529
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VEGFB,Vascular endothelial growth factor B,16387,200,0.81 [0.50-1.31],0.3880741443722239
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VEGFC,Vascular endothelial growth factor C,19414,261,0.85 [0.70-1.03],0.0982721104701151
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VEGFD,Vascular endothelial growth factor D,19497,260,1.00 [0.74-1.37],0.979138330525832
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VGF,Neurosecretory protein VGF,16848,200,1.02 [0.66-1.59],0.9171857994437576
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VIM,Vimentin,18949,248,1.11 [1.00-1.23],0.0562663494195509
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VIPR1,Vasoactive intestinal polypeptide receptor 1,16462,197,1.74 [1.06-2.86],0.0283180681052646
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VIT,Vitrin,16876,204,0.83 [0.58-1.19],0.3106374972148341
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VMO1,Vitelline membrane outer layer protein 1 homolog,19247,258,0.91 [0.78-1.06],0.2139730178926623
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VNN1,Pantetheinase,16889,203,1.07 [0.88-1.29],0.4919922533886224
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VNN2,Vascular non-inflammatory molecule 2,19247,258,1.07 [0.84-1.37],0.5675038786441995
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VPS28,Vacuolar protein sorting-associated protein 28 homolog,16582,200,1.03 [0.84-1.26],0.7752224363672902
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VPS37A,Vacuolar protein sorting-associated protein 37A,19247,258,1.00 [0.87-1.15],0.9504932339232076
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VPS4B,Vacuolar protein sorting-associated protein 4B,16806,202,1.06 [0.91-1.22],0.4608701667613636
