Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,A1BG,Alpha-1B-glycoprotein,16158,3284,1.43 [1.17-1.75],0.0003993091514033
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AAMDC,Mth938 domain-containing protein,15705,3187,0.95 [0.89-1.01],0.106501335045311
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AARSD1,Alanyl-tRNA editing protein Aarsd1,18302,3767,1.00 [0.95-1.05],0.928535325163916
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ABCA2,ATP-binding cassette sub-family A member 2,15579,3177,1.15 [1.05-1.26],0.0033235350114188
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ABHD14B,Protein ABHD14B,18188,3756,0.97 [0.92-1.02],0.2203588918417916
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ABL1,Tyrosine-protein kinase ABL1,18302,3767,1.04 [1.00-1.09],0.0529188027481208
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ABO,Histo-blood group ABO system transferase,16142,3286,1.01 [0.99-1.03],0.3643393931521725
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ABRAXAS2,BRISC complex subunit Abraxas 2,15579,3177,0.99 [0.94-1.04],0.6629200940299167
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",17984,3696,1.05 [1.02-1.09],0.004775871553167
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",15833,3224,1.01 [0.97-1.06],0.6114529683049931
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",16137,3288,1.00 [0.96-1.04],0.936734028614318
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACAN,Aggrecan core protein,18228,3766,0.88 [0.79-0.98],0.0178729874604442
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACE,Angiotensin-converting enzyme,16142,3286,1.05 [0.93-1.19],0.4362600797196031
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACE2,Angiotensin-converting enzyme 2,18082,3730,1.13 [1.07-1.19],7.010115065242375e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACHE,Acetylcholinesterase,15775,3200,0.79 [0.71-0.88],2.276274605434625e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACOT13,Acyl-coenzyme A thioesterase 13,16040,3256,0.98 [0.95-1.01],0.2707089630931325
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,18408,3789,0.97 [0.92-1.03],0.3029674761469971
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACP1,Low molecular weight phosphotyrosine protein phosphatase,15640,3181,0.93 [0.86-1.00],0.0610270620309774
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACP5,Tartrate-resistant acid phosphatase type 5,18521,3810,1.01 [0.92-1.11],0.787651010478378
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACP6,Lysophosphatidic acid phosphatase type 6,18518,3805,1.02 [0.98-1.07],0.3346316598276939
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACRBP,Acrosin-binding protein,16047,3269,1.03 [0.94-1.11],0.5538257242220823
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACRV1,Acrosomal protein SP-10,15640,3181,1.05 [1.00-1.09],0.0317689922023148
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACSL1,Long-chain-fatty-acid--CoA ligase 1,15579,3177,1.05 [0.96-1.15],0.2785468976728216
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACTA2,"Actin, aortic smooth muscle",18082,3730,1.09 [1.03-1.16],0.0059493461645258
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACTN2,Alpha-actinin-2,15579,3177,1.04 [0.98-1.10],0.1719395874076985
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACTN4,Alpha-actinin-4,18061,3691,0.98 [0.89-1.07],0.5934424728259162
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACVRL1,Serine/threonine-protein kinase receptor R3,18214,3767,1.25 [1.11-1.40],0.000121099346853
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACY1,Aminoacylase-1,18408,3789,1.10 [1.05-1.15],5.583761394015735e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,15579,3177,1.07 [1.00-1.13],0.0384085018454984
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACYP1,Acylphosphatase-1,15710,3188,1.00 [0.95-1.05],0.9784469473625784
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADA,Adenosine deaminase,18580,3817,1.06 [0.97-1.14],0.1903147433186707
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADA2,Adenosine deaminase 2,18333,3777,1.01 [0.95-1.08],0.7405811804731532
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,15640,3181,1.26 [1.14-1.39],8.381278590799435e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,18082,3730,0.94 [0.86-1.03],0.2011204481860971
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,18243,3772,0.98 [0.90-1.06],0.6331231362609645
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,18580,3817,1.00 [0.92-1.09],0.940562877889604
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,18528,3811,1.09 [0.99-1.21],0.0778916522800124
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,16040,3256,1.27 [1.14-1.42],2.7096722923610748e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,15640,3181,1.04 [0.93-1.16],0.4864016924997777
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,18641,3838,0.84 [0.74-0.95],0.0041435957679786
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,18302,3767,1.09 [1.02-1.17],0.010363170882424
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,18082,3730,1.05 [0.95-1.15],0.3285875436353179
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,15640,3181,1.05 [0.95-1.15],0.3581031508195123
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,18480,3807,0.80 [0.75-0.85],2.5398831342731895e-12
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTSL2,ADAMTS-like protein 2,16133,3284,1.22 [1.11-1.35],6.711540370216643e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTSL4,ADAMTS-like protein 4,15705,3187,1.06 [0.92-1.23],0.4194857068003418
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTSL5,ADAMTS-like protein 5,16137,3288,0.88 [0.81-0.96],0.0034904394083265
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,17984,3696,1.07 [1.00-1.16],0.0531184258933258
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADD1,Alpha-adducin,15775,3200,0.96 [0.92-1.01],0.142130154340081
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRB3,Adhesion G protein-coupled receptor B3,18214,3767,0.99 [0.91-1.08],0.7906333481659631
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRD1,Adhesion G-protein coupled receptor D1,15775,3200,1.07 [0.97-1.17],0.1602026739840275
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRE1,Adhesion G protein-coupled receptor E1,16040,3256,1.02 [0.96-1.08],0.5513752134206222
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRE2,Adhesion G protein-coupled receptor E2,18483,3804,0.86 [0.77-0.95],0.0041840825194245
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRE5,Adhesion G protein-coupled receptor E5,18562,3821,0.93 [0.84-1.02],0.1266759312016204
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRF5,Adhesion G protein-coupled receptor F5,16137,3288,1.07 [0.95-1.21],0.2377092327032703
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRG1,Adhesion G-protein coupled receptor G1,18302,3767,1.03 [1.00-1.07],0.0516635742257366
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRG2,Adhesion G-protein coupled receptor G2,18408,3789,0.75 [0.68-0.84],2.8570169676919065e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRV1,Adhesion G-protein coupled receptor V1,15608,3181,1.02 [0.98-1.07],0.303333306714702
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADH1B,All-trans-retinol dehydrogenase,15775,3200,1.03 [0.98-1.08],0.2453181436728981
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,18082,3730,1.04 [1.00-1.08],0.0360146833504511
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADIPOQ,Adiponectin,16158,3284,0.95 [0.91-1.00],0.0479071294695146
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADM,Pro-adrenomedullin,18549,3809,1.51 [1.35-1.69],1.0379838385105257e-12
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADRA2A,Alpha-2A adrenergic receptor,15579,3177,1.00 [0.96-1.06],0.8442813348696772
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AFAP1,Actin filament-associated protein 1,15775,3200,0.97 [0.93-1.01],0.1293310345320221
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AFM,Afamin,16158,3284,1.09 [0.92-1.29],0.3289274084739511
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AFP,Alpha-fetoprotein,18181,3760,1.00 [0.95-1.04],0.8337372092836711
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGBL2,Cytosolic carboxypeptidase 2,15608,3181,0.98 [0.94-1.02],0.3161447397269385
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGER,Advanced glycosylation end product-specific receptor,18366,3780,0.94 [0.87-1.01],0.070162235976564
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGR2,Anterior gradient protein 2 homolog,17831,3656,1.13 [1.10-1.16],6.747710369160362e-16
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGR3,Anterior gradient protein 3,17945,3686,1.08 [1.03-1.13],0.0030758708103889
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGRN,Agrin,18483,3804,1.29 [1.19-1.40],7.017986487341832e-10
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGRP,Agouti-related protein,18580,3817,1.05 [0.99-1.11],0.1138872473778161
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGT,Angiotensinogen,16142,3286,0.96 [0.83-1.10],0.5492594975033733
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGXT,Serine--pyruvate aminotransferase,18408,3789,1.06 [1.02-1.10],0.0020898365978125
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AHCY,Adenosylhomocysteinase,18408,3789,1.00 [0.96-1.04],0.965670969642169
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AHNAK,Neuroblast differentiation-associated protein AHNAK,15705,3187,1.01 [0.91-1.13],0.8408193069932639
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AHNAK2,Protein AHNAK2,15705,3187,1.04 [0.93-1.17],0.4819607579681542
