Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter VI Diseases of the nervous system,Memory loss,A1BG,Alpha-1B-glycoprotein,19255,131,0.94 [0.35-2.52],0.9088515877172156
Chapter VI Diseases of the nervous system,Memory loss,AAMDC,Mth938 domain-containing protein,18750,129,0.74 [0.53-1.02],0.0689695757500508
Chapter VI Diseases of the nervous system,Memory loss,AARSD1,Alanyl-tRNA editing protein Aarsd1,21918,141,1.04 [0.80-1.36],0.7552707620955978
Chapter VI Diseases of the nervous system,Memory loss,ABCA2,ATP-binding cassette sub-family A member 2,18575,129,1.52 [0.99-2.33],0.0554039780372239
Chapter VI Diseases of the nervous system,Memory loss,ABHD14B,Protein ABHD14B,21775,143,0.87 [0.66-1.13],0.284779866804538
Chapter VI Diseases of the nervous system,Memory loss,ABL1,Tyrosine-protein kinase ABL1,21918,141,1.02 [0.81-1.27],0.8824531509342165
Chapter VI Diseases of the nervous system,Memory loss,ABO,Histo-blood group ABO system transferase,19241,133,1.07 [0.95-1.20],0.2429970262657673
Chapter VI Diseases of the nervous system,Memory loss,ABRAXAS2,BRISC complex subunit Abraxas 2,18575,129,0.89 [0.68-1.15],0.3708036860518614
Chapter VI Diseases of the nervous system,Memory loss,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",21519,141,1.03 [0.85-1.24],0.7841212137226045
Chapter VI Diseases of the nervous system,Memory loss,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",18877,131,1.00 [0.79-1.27],0.9849936500044126
Chapter VI Diseases of the nervous system,Memory loss,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",19225,133,0.92 [0.76-1.11],0.390470122085001
Chapter VI Diseases of the nervous system,Memory loss,ACAN,Aggrecan core protein,21807,138,1.29 [0.75-2.24],0.3568326459412234
Chapter VI Diseases of the nervous system,Memory loss,ACE,Angiotensin-converting enzyme,19241,133,2.69 [1.66-4.36],5.593381675742075e-05
Chapter VI Diseases of the nervous system,Memory loss,ACE2,Angiotensin-converting enzyme 2,21598,140,1.56 [1.23-1.98],0.0002827768892015
Chapter VI Diseases of the nervous system,Memory loss,ACHE,Acetylcholinesterase,18820,133,1.45 [0.89-2.37],0.1359849008146526
Chapter VI Diseases of the nervous system,Memory loss,ACOT13,Acyl-coenzyme A thioesterase 13,19131,131,0.95 [0.82-1.10],0.4670445246062947
Chapter VI Diseases of the nervous system,Memory loss,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,22027,140,0.84 [0.62-1.15],0.2864795261635248
Chapter VI Diseases of the nervous system,Memory loss,ACP1,Low molecular weight phosphotyrosine protein phosphatase,18657,127,0.81 [0.54-1.20],0.289052299239544
Chapter VI Diseases of the nervous system,Memory loss,ACP5,Tartrate-resistant acid phosphatase type 5,22143,143,0.87 [0.54-1.38],0.5475701222789862
Chapter VI Diseases of the nervous system,Memory loss,ACP6,Lysophosphatidic acid phosphatase type 6,22159,145,0.98 [0.79-1.21],0.8263083930977723
Chapter VI Diseases of the nervous system,Memory loss,ACRBP,Acrosin-binding protein,19135,132,1.05 [0.69-1.59],0.8233712077289477
Chapter VI Diseases of the nervous system,Memory loss,ACRV1,Acrosomal protein SP-10,18657,127,0.87 [0.70-1.08],0.2042535697978789
Chapter VI Diseases of the nervous system,Memory loss,ACSL1,Long-chain-fatty-acid--CoA ligase 1,18575,129,1.08 [0.71-1.66],0.7085362961615977
Chapter VI Diseases of the nervous system,Memory loss,ACTA2,"Actin, aortic smooth muscle",21598,140,1.22 [0.90-1.67],0.1965122032088441
Chapter VI Diseases of the nervous system,Memory loss,ACTN2,Alpha-actinin-2,18575,129,1.51 [1.18-1.92],0.0008822409341022
Chapter VI Diseases of the nervous system,Memory loss,ACTN4,Alpha-actinin-4,21603,142,0.81 [0.48-1.35],0.419212481181372
Chapter VI Diseases of the nervous system,Memory loss,ACVRL1,Serine/threonine-protein kinase receptor R3,21797,143,1.35 [0.76-2.38],0.3065529841471446
Chapter VI Diseases of the nervous system,Memory loss,ACY1,Aminoacylase-1,22027,140,1.14 [0.89-1.45],0.313015440273258
Chapter VI Diseases of the nervous system,Memory loss,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,18575,129,1.33 [1.00-1.77],0.0540601178489407
Chapter VI Diseases of the nervous system,Memory loss,ACYP1,Acylphosphatase-1,18752,132,0.92 [0.71-1.19],0.5219887583964703
Chapter VI Diseases of the nervous system,Memory loss,ADA,Adenosine deaminase,22240,143,0.65 [0.41-1.01],0.0567562291300744
Chapter VI Diseases of the nervous system,Memory loss,ADA2,Adenosine deaminase 2,21913,140,1.18 [0.84-1.66],0.3346117179024719
Chapter VI Diseases of the nervous system,Memory loss,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,18657,127,0.94 [0.55-1.61],0.8251000732015219
Chapter VI Diseases of the nervous system,Memory loss,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,21598,140,1.34 [0.83-2.17],0.2364796318355564
Chapter VI Diseases of the nervous system,Memory loss,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,21832,143,0.81 [0.54-1.23],0.3249452652140961
Chapter VI Diseases of the nervous system,Memory loss,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,22240,143,0.98 [0.65-1.49],0.9281070536215016
Chapter VI Diseases of the nervous system,Memory loss,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,22159,143,0.89 [0.54-1.48],0.655598111632957
