Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
DNAJC6,Putative tyrosine-protein phosphatase auxilin,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,22452,2078,1.21 [1.15-1.27],4.155126249556939e-15
DNAJC6,Putative tyrosine-protein phosphatase auxilin,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,23336,2962,1.18 [1.13-1.22],3.231936921102777e-15
