,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.578 [0.555 - 0.600],0.558 [0.551 - 0.564],0.558 [0.520 - 0.598],0.558 [0.551 - 0.564],0.035 [0.032 - 0.039],0.116 [0.077 - 0.156],0.066 [0.060 - 0.073]
Demographic,0.590 [0.567 - 0.612],0.576 [0.569 - 0.582],0.578 [0.537 - 0.615],0.576 [0.569 - 0.582],0.038 [0.034 - 0.042],0.154 [0.112 - 0.191],0.071 [0.064 - 0.078]
Protein+Demographic,0.593 [0.572 - 0.616],0.570 [0.563 - 0.576],0.570 [0.530 - 0.609],0.570 [0.563 - 0.576],0.037 [0.034 - 0.041],0.139 [0.099 - 0.179],0.069 [0.063 - 0.076]
