,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.672 [0.628 - 0.708],0.624 [0.619 - 0.628],0.627 [0.544 - 0.703],0.624 [0.619 - 0.628],0.005 [0.004 - 0.006],0.251 [0.169 - 0.325],0.010 [0.008 - 0.012]
Demographic,0.650 [0.612 - 0.688],0.618 [0.613 - 0.622],0.621 [0.542 - 0.697],0.618 [0.613 - 0.622],0.005 [0.004 - 0.006],0.239 [0.160 - 0.315],0.010 [0.008 - 0.012]
Protein+Demographic,0.737 [0.702 - 0.768],0.671 [0.667 - 0.675],0.672 [0.596 - 0.744],0.672 [0.667 - 0.676],0.006 [0.005 - 0.008],0.343 [0.267 - 0.415],0.012 [0.010 - 0.015]
