,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.726 [0.697 - 0.755],0.673 [0.669 - 0.678],0.671 [0.620 - 0.724],0.673 [0.669 - 0.677],0.012 [0.011 - 0.014],0.345 [0.293 - 0.397],0.024 [0.022 - 0.027]
Demographic,0.698 [0.668 - 0.728],0.647 [0.643 - 0.651],0.649 [0.594 - 0.699],0.646 [0.643 - 0.651],0.011 [0.010 - 0.012],0.295 [0.241 - 0.347],0.022 [0.019 - 0.025]
Protein+Demographic,0.734 [0.705 - 0.762],0.677 [0.673 - 0.681],0.679 [0.625 - 0.732],0.677 [0.673 - 0.681],0.013 [0.011 - 0.014],0.356 [0.301 - 0.408],0.025 [0.022 - 0.028]
