,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.713 [0.671 - 0.755],0.653 [0.649 - 0.657],0.653 [0.568 - 0.735],0.653 [0.649 - 0.657],0.005 [0.004 - 0.006],0.306 [0.222 - 0.390],0.010 [0.008 - 0.012]
Demographic,0.679 [0.629 - 0.723],0.606 [0.602 - 0.610],0.611 [0.525 - 0.691],0.606 [0.602 - 0.610],0.004 [0.003 - 0.005],0.217 [0.130 - 0.297],0.008 [0.006 - 0.010]
Protein+Demographic,0.755 [0.715 - 0.793],0.679 [0.675 - 0.683],0.683 [0.603 - 0.760],0.679 [0.675 - 0.683],0.006 [0.004 - 0.007],0.362 [0.282 - 0.439],0.011 [0.009 - 0.013]
