,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.696 [0.681 - 0.710],0.647 [0.642 - 0.651],0.647 [0.621 - 0.671],0.647 [0.642 - 0.651],0.066 [0.061 - 0.070],0.293 [0.267 - 0.319],0.119 [0.112 - 0.126]
Demographic,0.666 [0.652 - 0.680],0.626 [0.622 - 0.631],0.627 [0.602 - 0.651],0.626 [0.621 - 0.631],0.060 [0.056 - 0.064],0.253 [0.227 - 0.278],0.110 [0.103 - 0.117]
Protein+Demographic,0.705 [0.691 - 0.718],0.652 [0.648 - 0.657],0.653 [0.628 - 0.677],0.653 [0.648 - 0.657],0.067 [0.063 - 0.072],0.306 [0.281 - 0.329],0.122 [0.115 - 0.129]
