,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.597 [0.554 - 0.639],0.572 [0.568 - 0.577],0.576 [0.502 - 0.648],0.572 [0.568 - 0.576],0.005 [0.004 - 0.006],0.148 [0.073 - 0.220],0.011 [0.009 - 0.012]
Demographic,0.539 [0.495 - 0.579],0.538 [0.533 - 0.543],0.540 [0.466 - 0.606],0.538 [0.533 - 0.543],0.005 [0.004 - 0.005],0.077 [0.004 - 0.144],0.009 [0.007 - 0.011]
Protein+Demographic,0.604 [0.562 - 0.647],0.584 [0.580 - 0.589],0.583 [0.515 - 0.658],0.585 [0.580 - 0.589],0.006 [0.005 - 0.007],0.168 [0.100 - 0.243],0.011 [0.009 - 0.013]
