,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.570 [0.549 - 0.591],0.550 [0.546 - 0.555],0.551 [0.513 - 0.586],0.550 [0.546 - 0.555],0.018 [0.016 - 0.020],0.101 [0.063 - 0.137],0.035 [0.031 - 0.038]
Demographic,0.542 [0.520 - 0.563],0.532 [0.528 - 0.536],0.531 [0.495 - 0.564],0.532 [0.528 - 0.536],0.017 [0.015 - 0.018],0.064 [0.025 - 0.097],0.032 [0.029 - 0.036]
Protein+Demographic,0.566 [0.544 - 0.586],0.558 [0.553 - 0.562],0.558 [0.521 - 0.593],0.558 [0.553 - 0.562],0.019 [0.017 - 0.020],0.115 [0.078 - 0.151],0.036 [0.033 - 0.039]
