,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.712 [0.676 - 0.746],0.645 [0.641 - 0.649],0.650 [0.585 - 0.710],0.645 [0.641 - 0.649],0.008 [0.007 - 0.009],0.295 [0.229 - 0.355],0.016 [0.014 - 0.019]
Demographic,0.629 [0.589 - 0.667],0.609 [0.604 - 0.613],0.608 [0.543 - 0.675],0.609 [0.604 - 0.613],0.007 [0.006 - 0.008],0.217 [0.154 - 0.283],0.014 [0.012 - 0.016]
Protein+Demographic,0.713 [0.676 - 0.749],0.661 [0.657 - 0.665],0.658 [0.595 - 0.718],0.661 [0.657 - 0.665],0.009 [0.007 - 0.010],0.319 [0.255 - 0.380],0.017 [0.015 - 0.020]
