,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.725 [0.699 - 0.752],0.668 [0.663 - 0.671],0.670 [0.613 - 0.718],0.667 [0.663 - 0.671],0.012 [0.011 - 0.014],0.337 [0.280 - 0.387],0.024 [0.021 - 0.027]
Demographic,0.690 [0.663 - 0.715],0.640 [0.636 - 0.644],0.642 [0.587 - 0.693],0.640 [0.636 - 0.644],0.011 [0.009 - 0.012],0.281 [0.227 - 0.334],0.021 [0.018 - 0.024]
Protein+Demographic,0.745 [0.720 - 0.770],0.690 [0.686 - 0.694],0.691 [0.642 - 0.737],0.690 [0.686 - 0.694],0.013 [0.012 - 0.015],0.381 [0.332 - 0.428],0.026 [0.023 - 0.029]
