,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.873 [0.846 - 0.899],0.775 [0.771 - 0.779],0.786 [0.732 - 0.833],0.775 [0.771 - 0.779],0.018 [0.015 - 0.020],0.562 [0.507 - 0.608],0.035 [0.030 - 0.039]
Demographic,0.562 [0.526 - 0.600],0.557 [0.552 - 0.561],0.557 [0.498 - 0.619],0.557 [0.552 - 0.561],0.006 [0.005 - 0.008],0.113 [0.056 - 0.175],0.013 [0.011 - 0.015]
Protein+Demographic,0.875 [0.849 - 0.900],0.795 [0.792 - 0.799],0.801 [0.749 - 0.848],0.795 [0.792 - 0.799],0.020 [0.017 - 0.023],0.596 [0.545 - 0.644],0.039 [0.034 - 0.044]
