,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.644 [0.627 - 0.658],0.602 [0.597 - 0.607],0.601 [0.573 - 0.627],0.602 [0.597 - 0.607],0.045 [0.042 - 0.048],0.203 [0.175 - 0.229],0.084 [0.079 - 0.090]
Demographic,0.624 [0.607 - 0.638],0.595 [0.590 - 0.599],0.594 [0.565 - 0.620],0.595 [0.590 - 0.600],0.044 [0.041 - 0.047],0.189 [0.159 - 0.214],0.082 [0.077 - 0.087]
Protein+Demographic,0.658 [0.642 - 0.671],0.610 [0.605 - 0.614],0.609 [0.580 - 0.635],0.610 [0.605 - 0.615],0.047 [0.044 - 0.050],0.219 [0.190 - 0.245],0.087 [0.081 - 0.092]
