,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.911 [0.898 - 0.922],0.836 [0.831 - 0.841],0.835 [0.794 - 0.877],0.836 [0.832 - 0.841],0.071 [0.063 - 0.080],0.671 [0.631 - 0.713],0.131 [0.117 - 0.146]
Demographic,0.859 [0.841 - 0.875],0.802 [0.797 - 0.808],0.804 [0.759 - 0.846],0.802 [0.797 - 0.808],0.058 [0.051 - 0.065],0.607 [0.562 - 0.648],0.107 [0.096 - 0.120]
Protein+Demographic,0.916 [0.904 - 0.927],0.847 [0.842 - 0.851],0.847 [0.806 - 0.886],0.847 [0.842 - 0.851],0.076 [0.068 - 0.086],0.695 [0.653 - 0.733],0.140 [0.126 - 0.155]
