,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.744 [0.727 - 0.762],0.680 [0.675 - 0.685],0.680 [0.647 - 0.713],0.680 [0.675 - 0.685],0.038 [0.034 - 0.041],0.360 [0.326 - 0.394],0.071 [0.066 - 0.077]
Demographic,0.712 [0.696 - 0.730],0.662 [0.657 - 0.667],0.662 [0.629 - 0.697],0.662 [0.657 - 0.667],0.035 [0.032 - 0.038],0.324 [0.290 - 0.360],0.066 [0.061 - 0.072]
Protein+Demographic,0.751 [0.734 - 0.768],0.683 [0.678 - 0.688],0.684 [0.648 - 0.719],0.683 [0.678 - 0.688],0.038 [0.035 - 0.042],0.367 [0.331 - 0.402],0.072 [0.066 - 0.079]
