,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.581 [0.551 - 0.610],0.554 [0.550 - 0.559],0.553 [0.501 - 0.602],0.554 [0.550 - 0.558],0.009 [0.008 - 0.010],0.107 [0.055 - 0.156],0.018 [0.016 - 0.021]
Demographic,0.566 [0.537 - 0.594],0.544 [0.540 - 0.548],0.546 [0.496 - 0.594],0.544 [0.540 - 0.548],0.009 [0.008 - 0.010],0.090 [0.041 - 0.138],0.018 [0.015 - 0.020]
Protein+Demographic,0.581 [0.552 - 0.609],0.564 [0.560 - 0.569],0.567 [0.514 - 0.613],0.564 [0.560 - 0.569],0.010 [0.008 - 0.011],0.131 [0.077 - 0.178],0.019 [0.017 - 0.022]
