,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.750 [0.725 - 0.772],0.693 [0.689 - 0.697],0.695 [0.653 - 0.733],0.693 [0.689 - 0.697],0.020 [0.018 - 0.022],0.387 [0.346 - 0.426],0.039 [0.035 - 0.043]
Demographic,0.627 [0.601 - 0.651],0.590 [0.585 - 0.594],0.590 [0.547 - 0.631],0.590 [0.585 - 0.594],0.013 [0.011 - 0.014],0.180 [0.135 - 0.220],0.025 [0.022 - 0.028]
Protein+Demographic,0.749 [0.724 - 0.772],0.694 [0.690 - 0.698],0.695 [0.652 - 0.735],0.694 [0.690 - 0.698],0.020 [0.018 - 0.022],0.389 [0.346 - 0.428],0.039 [0.035 - 0.043]
