,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.699 [0.693 - 0.704],0.644 [0.640 - 0.648],0.644 [0.635 - 0.652],0.644 [0.639 - 0.649],0.340 [0.333 - 0.346],0.288 [0.278 - 0.298],0.445 [0.438 - 0.451]
Demographic,0.658 [0.652 - 0.664],0.616 [0.612 - 0.621],0.616 [0.606 - 0.625],0.616 [0.611 - 0.621],0.313 [0.307 - 0.319],0.232 [0.222 - 0.243],0.415 [0.408 - 0.422]
Protein+Demographic,0.701 [0.695 - 0.706],0.644 [0.640 - 0.648],0.644 [0.634 - 0.652],0.644 [0.639 - 0.648],0.339 [0.333 - 0.346],0.288 [0.277 - 0.297],0.445 [0.438 - 0.451]
