,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.743 [0.726 - 0.760],0.670 [0.666 - 0.674],0.670 [0.637 - 0.704],0.670 [0.666 - 0.674],0.028 [0.025 - 0.030],0.340 [0.306 - 0.376],0.054 [0.049 - 0.058]
Demographic,0.699 [0.680 - 0.718],0.635 [0.631 - 0.639],0.636 [0.600 - 0.673],0.635 [0.631 - 0.639],0.024 [0.022 - 0.026],0.271 [0.236 - 0.308],0.046 [0.042 - 0.051]
Protein+Demographic,0.755 [0.737 - 0.771],0.687 [0.683 - 0.690],0.688 [0.653 - 0.723],0.687 [0.683 - 0.690],0.030 [0.027 - 0.033],0.375 [0.339 - 0.409],0.058 [0.053 - 0.062]
