,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.704 [0.682 - 0.728],0.643 [0.639 - 0.648],0.643 [0.604 - 0.682],0.643 [0.639 - 0.648],0.021 [0.019 - 0.023],0.287 [0.247 - 0.326],0.041 [0.037 - 0.045]
Demographic,0.564 [0.542 - 0.588],0.549 [0.544 - 0.553],0.548 [0.508 - 0.590],0.549 [0.544 - 0.553],0.014 [0.013 - 0.016],0.098 [0.057 - 0.139],0.028 [0.025 - 0.031]
Protein+Demographic,0.701 [0.678 - 0.725],0.648 [0.644 - 0.652],0.648 [0.610 - 0.687],0.648 [0.644 - 0.652],0.021 [0.019 - 0.024],0.296 [0.258 - 0.336],0.041 [0.038 - 0.046]
