,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.599 [0.552 - 0.646],0.566 [0.562 - 0.571],0.569 [0.487 - 0.659],0.566 [0.562 - 0.571],0.004 [0.003 - 0.004],0.135 [0.054 - 0.225],0.007 [0.006 - 0.009]
Demographic,0.533 [0.481 - 0.584],0.549 [0.544 - 0.553],0.549 [0.462 - 0.626],0.549 [0.544 - 0.553],0.003 [0.003 - 0.004],0.098 [0.009 - 0.174],0.007 [0.005 - 0.008]
Protein+Demographic,0.593 [0.546 - 0.638],0.581 [0.577 - 0.585],0.577 [0.500 - 0.656],0.581 [0.577 - 0.585],0.004 [0.003 - 0.005],0.158 [0.082 - 0.238],0.007 [0.006 - 0.009]
