,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.656 [0.628 - 0.682],0.619 [0.615 - 0.624],0.619 [0.572 - 0.664],0.619 [0.615 - 0.624],0.016 [0.014 - 0.018],0.238 [0.192 - 0.283],0.031 [0.027 - 0.034]
Demographic,0.649 [0.624 - 0.672],0.610 [0.605 - 0.615],0.610 [0.564 - 0.655],0.610 [0.605 - 0.615],0.015 [0.013 - 0.017],0.220 [0.175 - 0.265],0.030 [0.026 - 0.033]
Protein+Demographic,0.663 [0.636 - 0.688],0.623 [0.619 - 0.628],0.620 [0.575 - 0.666],0.623 [0.619 - 0.628],0.016 [0.014 - 0.018],0.244 [0.198 - 0.291],0.031 [0.028 - 0.035]
