,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.474 [0.434 - 0.518],0.491 [0.484 - 0.498],0.503 [0.427 - 0.576],0.491 [0.484 - 0.498],0.007 [0.006 - 0.009],-0.007 [-0.081 - 0.066],0.015 [0.012 - 0.018]
Demographic,0.550 [0.505 - 0.596],0.538 [0.531 - 0.544],0.537 [0.458 - 0.612],0.538 [0.531 - 0.544],0.009 [0.007 - 0.011],0.075 [-0.004 - 0.153],0.017 [0.014 - 0.021]
Protein+Demographic,0.485 [0.442 - 0.530],0.497 [0.490 - 0.503],0.494 [0.419 - 0.564],0.497 [0.490 - 0.503],0.007 [0.006 - 0.009],-0.010 [-0.083 - 0.062],0.015 [0.012 - 0.018]
