,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.874 [0.867 - 0.881],0.794 [0.791 - 0.798],0.794 [0.780 - 0.808],0.794 [0.790 - 0.798],0.204 [0.196 - 0.211],0.589 [0.574 - 0.603],0.324 [0.314 - 0.334]
Demographic,0.767 [0.759 - 0.775],0.700 [0.696 - 0.704],0.699 [0.683 - 0.715],0.700 [0.696 - 0.704],0.134 [0.128 - 0.139],0.399 [0.383 - 0.415],0.224 [0.216 - 0.232]
Protein+Demographic,0.876 [0.870 - 0.883],0.795 [0.791 - 0.798],0.794 [0.781 - 0.809],0.795 [0.791 - 0.798],0.204 [0.197 - 0.211],0.589 [0.576 - 0.604],0.325 [0.316 - 0.334]
