,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.632 [0.583 - 0.679],0.595 [0.591 - 0.600],0.592 [0.507 - 0.675],0.595 [0.591 - 0.599],0.004 [0.003 - 0.005],0.187 [0.100 - 0.273],0.007 [0.006 - 0.009]
Demographic,0.564 [0.516 - 0.614],0.556 [0.552 - 0.560],0.556 [0.475 - 0.640],0.556 [0.552 - 0.560],0.003 [0.002 - 0.004],0.113 [0.031 - 0.196],0.006 [0.005 - 0.008]
Protein+Demographic,0.631 [0.583 - 0.673],0.598 [0.594 - 0.602],0.595 [0.507 - 0.679],0.598 [0.594 - 0.602],0.004 [0.003 - 0.005],0.193 [0.105 - 0.277],0.007 [0.006 - 0.009]
