,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.805 [0.783 - 0.824],0.735 [0.731 - 0.738],0.731 [0.691 - 0.769],0.735 [0.731 - 0.739],0.026 [0.024 - 0.029],0.466 [0.426 - 0.505],0.051 [0.046 - 0.056]
Demographic,0.790 [0.769 - 0.810],0.726 [0.722 - 0.730],0.726 [0.686 - 0.766],0.726 [0.722 - 0.730],0.025 [0.023 - 0.028],0.452 [0.411 - 0.492],0.049 [0.044 - 0.054]
Protein+Demographic,0.827 [0.807 - 0.844],0.738 [0.734 - 0.742],0.737 [0.697 - 0.774],0.738 [0.734 - 0.742],0.027 [0.024 - 0.030],0.475 [0.433 - 0.511],0.052 [0.047 - 0.057]
