,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.701 [0.671 - 0.727],0.655 [0.651 - 0.659],0.655 [0.608 - 0.701],0.655 [0.651 - 0.659],0.014 [0.012 - 0.016],0.310 [0.263 - 0.356],0.027 [0.024 - 0.030]
Demographic,0.638 [0.614 - 0.663],0.611 [0.607 - 0.616],0.612 [0.561 - 0.661],0.611 [0.607 - 0.616],0.011 [0.010 - 0.013],0.224 [0.173 - 0.275],0.022 [0.019 - 0.025]
Protein+Demographic,0.727 [0.698 - 0.752],0.676 [0.672 - 0.680],0.676 [0.626 - 0.721],0.676 [0.672 - 0.680],0.015 [0.013 - 0.017],0.352 [0.301 - 0.399],0.030 [0.026 - 0.033]
