,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.680 [0.666 - 0.694],0.636 [0.632 - 0.640],0.634 [0.609 - 0.662],0.636 [0.632 - 0.640],0.043 [0.041 - 0.046],0.270 [0.245 - 0.297],0.081 [0.076 - 0.086]
Demographic,0.701 [0.688 - 0.714],0.644 [0.640 - 0.648],0.644 [0.617 - 0.669],0.644 [0.640 - 0.648],0.045 [0.042 - 0.048],0.288 [0.260 - 0.313],0.084 [0.078 - 0.090]
Protein+Demographic,0.708 [0.694 - 0.721],0.660 [0.656 - 0.664],0.660 [0.635 - 0.686],0.660 [0.656 - 0.664],0.048 [0.045 - 0.051],0.320 [0.294 - 0.346],0.089 [0.084 - 0.096]
