,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.634 [0.585 - 0.687],0.585 [0.581 - 0.589],0.590 [0.504 - 0.679],0.585 [0.581 - 0.589],0.003 [0.003 - 0.004],0.175 [0.087 - 0.264],0.007 [0.005 - 0.008]
Demographic,0.512 [0.458 - 0.563],0.517 [0.513 - 0.521],0.516 [0.421 - 0.602],0.517 [0.513 - 0.521],0.003 [0.002 - 0.003],0.033 [-0.062 - 0.119],0.005 [0.004 - 0.006]
Protein+Demographic,0.626 [0.574 - 0.681],0.577 [0.572 - 0.581],0.582 [0.496 - 0.675],0.577 [0.572 - 0.581],0.003 [0.003 - 0.004],0.159 [0.072 - 0.251],0.006 [0.005 - 0.008]
