,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.579 [0.527 - 0.631],0.563 [0.558 - 0.567],0.565 [0.477 - 0.647],0.563 [0.558 - 0.567],0.003 [0.002 - 0.004],0.127 [0.041 - 0.212],0.006 [0.005 - 0.007]
Demographic,0.645 [0.603 - 0.687],0.591 [0.587 - 0.595],0.593 [0.504 - 0.675],0.591 [0.587 - 0.595],0.003 [0.003 - 0.004],0.185 [0.093 - 0.266],0.007 [0.005 - 0.008]
Protein+Demographic,0.605 [0.553 - 0.655],0.571 [0.567 - 0.575],0.569 [0.488 - 0.657],0.571 [0.567 - 0.575],0.003 [0.002 - 0.004],0.140 [0.060 - 0.230],0.006 [0.005 - 0.008]
