,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.624 [0.575 - 0.671],0.593 [0.588 - 0.597],0.589 [0.495 - 0.680],0.593 [0.589 - 0.597],0.003 [0.002 - 0.004],0.182 [0.089 - 0.274],0.006 [0.005 - 0.008]
Demographic,0.573 [0.522 - 0.621],0.571 [0.567 - 0.575],0.574 [0.482 - 0.661],0.571 [0.566 - 0.575],0.003 [0.002 - 0.004],0.145 [0.052 - 0.233],0.006 [0.004 - 0.007]
Protein+Demographic,0.640 [0.592 - 0.687],0.603 [0.599 - 0.607],0.606 [0.516 - 0.692],0.603 [0.599 - 0.607],0.003 [0.002 - 0.004],0.209 [0.120 - 0.295],0.006 [0.005 - 0.008]
