,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.701 [0.682 - 0.721],0.658 [0.654 - 0.662],0.660 [0.624 - 0.696],0.658 [0.654 - 0.662],0.023 [0.021 - 0.025],0.318 [0.282 - 0.353],0.044 [0.040 - 0.048]
Demographic,0.690 [0.671 - 0.708],0.639 [0.635 - 0.643],0.640 [0.604 - 0.678],0.639 [0.635 - 0.643],0.021 [0.019 - 0.023],0.279 [0.244 - 0.316],0.041 [0.037 - 0.045]
Protein+Demographic,0.717 [0.697 - 0.736],0.664 [0.659 - 0.667],0.664 [0.628 - 0.699],0.664 [0.659 - 0.667],0.023 [0.021 - 0.026],0.328 [0.291 - 0.361],0.045 [0.041 - 0.049]
