,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.750 [0.731 - 0.766],0.684 [0.680 - 0.688],0.685 [0.653 - 0.714],0.684 [0.680 - 0.688],0.037 [0.034 - 0.040],0.369 [0.336 - 0.398],0.070 [0.064 - 0.076]
Demographic,0.666 [0.648 - 0.685],0.628 [0.624 - 0.632],0.628 [0.596 - 0.660],0.628 [0.624 - 0.632],0.029 [0.027 - 0.031],0.256 [0.225 - 0.287],0.055 [0.051 - 0.060]
Protein+Demographic,0.751 [0.733 - 0.767],0.689 [0.685 - 0.693],0.690 [0.657 - 0.718],0.689 [0.685 - 0.693],0.038 [0.035 - 0.041],0.379 [0.345 - 0.409],0.072 [0.066 - 0.077]
