,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.602 [0.569 - 0.636],0.573 [0.569 - 0.577],0.571 [0.521 - 0.626],0.573 [0.569 - 0.577],0.008 [0.007 - 0.009],0.144 [0.094 - 0.200],0.016 [0.013 - 0.018]
Demographic,0.577 [0.546 - 0.607],0.558 [0.554 - 0.562],0.558 [0.504 - 0.608],0.558 [0.554 - 0.562],0.007 [0.006 - 0.009],0.115 [0.061 - 0.165],0.015 [0.013 - 0.017]
Protein+Demographic,0.599 [0.568 - 0.632],0.582 [0.578 - 0.587],0.578 [0.527 - 0.631],0.582 [0.578 - 0.587],0.008 [0.007 - 0.009],0.161 [0.109 - 0.213],0.016 [0.014 - 0.019]
