,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.750 [0.742 - 0.757],0.684 [0.680 - 0.688],0.684 [0.670 - 0.699],0.684 [0.680 - 0.688],0.168 [0.162 - 0.173],0.368 [0.353 - 0.383],0.270 [0.261 - 0.277]
Demographic,0.724 [0.717 - 0.732],0.663 [0.659 - 0.667],0.663 [0.649 - 0.677],0.663 [0.659 - 0.667],0.155 [0.150 - 0.160],0.326 [0.312 - 0.341],0.251 [0.244 - 0.258]
Protein+Demographic,0.758 [0.751 - 0.765],0.690 [0.687 - 0.694],0.691 [0.677 - 0.704],0.690 [0.686 - 0.695],0.172 [0.166 - 0.177],0.381 [0.367 - 0.395],0.276 [0.268 - 0.283]
