,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.712 [0.683 - 0.740],0.636 [0.632 - 0.640],0.635 [0.580 - 0.686],0.636 [0.632 - 0.640],0.011 [0.010 - 0.012],0.272 [0.215 - 0.323],0.021 [0.019 - 0.024]
Demographic,0.672 [0.643 - 0.700],0.617 [0.613 - 0.622],0.617 [0.566 - 0.666],0.617 [0.613 - 0.622],0.010 [0.009 - 0.011],0.234 [0.183 - 0.283],0.020 [0.017 - 0.022]
Protein+Demographic,0.718 [0.688 - 0.746],0.647 [0.643 - 0.651],0.648 [0.595 - 0.698],0.647 [0.643 - 0.651],0.011 [0.010 - 0.013],0.295 [0.241 - 0.346],0.023 [0.020 - 0.025]
